Title,ID,title,overview,release_date,runtime,budget,revenue,genres,production_companies,production_countries,spoken_languages,tagline,rating,votes
Spider-Man: Into the Spider-Verse,324857,Spider-Man: Into the Spider-Verse,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",2018-12-14,117,90000000,375464627,"['Action', 'Adventure', 'Animation', 'Science Fiction']","['Columbia Pictures', 'Lord Miller Productions', 'Pascal Pictures', 'Sony Pictures Animation', 'Avi Arad Productions']",['United States of America'],"['English', '日本語', 'Español']",More than one wears the mask.,8.407,12672
Mononoke-hime,128,Princess Mononoke,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",1997-07-12,134,26500000,159414369,"['Adventure', 'Fantasy', 'Animation']","['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']",['Japan'],['日本語'],The Fate Of The World Rests On The Courage Of One Warrior.,8.34,6933
Shershaah,599925,Shershaah,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24.",2021-08-12,135,0,0,"['Action', 'Drama', 'Thriller', 'War']","['Dharma Productions', 'Kaash Entertainment']",['India'],['हिन्दी'],,7.246,59
Asuran,576928,Asuran,A family from the underprivileged class is on the run after the teenaged son kills a rich man from the upper caste. Can the pacifist father be able to save his hot-blooded son?,2019-10-02,141,0,0,"['Action', 'Drama']",['V Creations'],['India'],['தமிழ்'],,7.896,67
Top Gun: Maverick,361743,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",2022-05-24,131,170000000,1488732821,"['Action', 'Drama']","['Skydance Media', 'Don Simpson/Jerry Bruckheimer Films', 'Paramount']",['United States of America'],['English'],Feel the need... The need for speed.,8.29,6742
Heat,949,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,1995-12-15,170,60000000,187436818,"['Action', 'Crime', 'Drama', 'Thriller']","['Regency Enterprises', 'Forward Pass', 'Warner Bros. Pictures', 'New Regency Productions', 'The Linson Company', 'Monarchy Enterprises B.V.']",['United States of America'],"['English', 'Español']",A Los Angeles crime saga.,7.899,6222
Star Wars: Episode VI - Return of the Jedi,1892,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",1983-05-25,135,32350000,572700000,"['Adventure', 'Action', 'Science Fiction']",['Lucasfilm Ltd.'],['United States of America'],['English'],The Empire Falls...,7.889,14161
Kantara,858485,Kantara,"Shiva, a tribal vagabond lives with his mother in hamlet, stays away from the traditional Daivaradhane and Bhoota Kola legacy due to an unforgettable childhood incident. He is happy loafing around with his friends and doing petty jobs for his landlord. When Forest officer Murali enters the scene, it gives a fresh dimension to the man-vs-nature fight. Can Shiva save the forest from Murali? Or is Murali just a dummy bait cast by bigger fish?",2022-09-30,147,1934000,60447800,"['Mystery', 'Action', 'Thriller']",['Hombale Films'],['India'],"['?????', '']",A Legend,7.538,53
North by Northwest,213,North by Northwest,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",1959-07-08,136,4000000,13275000,"['Mystery', 'Thriller']",['Metro-Goldwyn-Mayer'],['United States of America'],['English'],"A 2000 MILE CHASE . . . That blazes a trail of TERROR to a gripping, spine-chilling climax !",7.992,3581
Vikram,578060,Vikram,"Vikram is a 1986 Telugu film directed by V. Madhusudhana Rao, produced by Akkineni Venkat under the Annapurna Studios banner. Akkineni Nagarjuna and Sobhana played the lead roles and the music was composed by Chakravarthy. The film was a remake of the Hindi film Hero (1983) and it is the first debut of Akkineni Nagarjuna as a hero. The film was recorded as a Hit at the box office.",1986-05-23,173,0,0,['Action'],['Annapurna Studios'],['India'],['తెలుగు'],,7.0,1
K.G.F: Chapter 2,587412,K.G.F: Chapter 2,"The blood-soaked land of Kolar Gold Fields (KGF) has a new overlord now - Rocky, whose name strikes fear in the heart of his foes. His allies look up to Rocky as their Savior, the government sees him as a threat to law and order; enemies are clamoring for revenge and conspiring for his downfall. Bloodier battles and darker days await as Rocky continues on his quest for unchallenged supremacy.",2022-04-14,168,13000000,90410749,"['Action', 'Crime', 'Drama']","['Hombale Films', 'Vaaraahi Chalana Chitram', 'Excel Entertainment']",['India'],['?????'],The World Is My Territory,7.649,101
Dangal,360814,Dangal,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",2016-12-21,161,10400000,311000000,"['Drama', 'Family', 'Comedy', 'Action']","['Aamir Khan Productions', 'Walt Disney Pictures', 'UTV Motion Pictures']",['India'],['हिन्दी'],,7.952,816
Ratsasan,412862,Ratsasan,"A serial killer is murdering school girls, and a newbie cop has to track him down before the victim count increases.",2018-10-05,170,0,0,"['Action', 'Thriller', 'Crime']",['Axess Film Factory'],['India'],['தமிழ்'],,7.579,114
Spider-Man: No Way Home,634649,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2021-12-15,148,200000000,1921847111,"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",['United States of America'],"['English', '']",The Multiverse unleashed.,8.0,17285
Jurassic Park,329,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",1993-06-11,127,63000000,920100000,"['Adventure', 'Science Fiction']","['Universal Pictures', 'Amblin Entertainment']",['United States of America'],"['English', 'Español']",An adventure 65 million years in the making.,7.935,14668
1917,530915,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",2019-12-25,119,100000000,394638258,"['War', 'Drama', 'History']","['DreamWorks Pictures', 'Reliance Entertainment', 'New Republic Pictures', 'Neal Street Productions', 'Mogambo Films', 'Amblin Partners']","['India', 'Spain', 'United Kingdom', 'United States of America']","['English', 'Français', 'Deutsch']",Time is the enemy,7.986,10973
Batman Begins,272,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",2005-06-10,140,150000000,374218673,"['Action', 'Crime', 'Drama']","['Warner Bros. Pictures', 'DC Comics', 'Syncopy', 'Legendary Pictures', 'Patalex III Productions Limited']","['United Kingdom', 'United States of America']","['English', 'اردو', '普通话']",Evil fears the knight.,7.695,18983
Kill Bill: Vol. 1,24,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",2003-10-10,111,30000000,180906076,"['Action', 'Crime']","['Miramax', 'A Band Apart', 'Super Cool ManChu']",['United States of America'],"['English', '日本語', 'Français']",A roaring rampage of revenge.,7.971,15744
Indiana Jones and the Last Crusade,89,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",1989-05-24,127,48000000,474171806,"['Adventure', 'Action']","['Paramount', 'Lucasfilm Ltd.']",['United States of America'],"['العربية', 'English', 'Deutsch', 'ελληνικά']","The man with the hat is back. And this time, he's bringing his Dad.",7.8,8833
Die Hard,562,Die Hard,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",1988-07-15,131,28000000,140767956,"['Action', 'Thriller']","['Gordon Company', 'Silver Pictures', '20th Century Fox']",['United States of America'],"['English', 'Deutsch', 'Italiano']",Twelve terrorists. One cop. The odds are against John McClane... That's just the way he likes it.,7.766,9882
"Lock, Stock and Two Smoking Barrels",100,"Lock, Stock and Two Smoking Barrels",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,1998-08-28,105,1350000,28356188,"['Comedy', 'Crime']","['Summit Entertainment', 'The Steve Tisch Company', 'SKA Films', 'PolyGram Filmed Entertainment', 'HandMade Films']","['United Kingdom', 'United States of America']",['English'],A Disgrace to Criminals Everywhere.,8.134,5898
V for Vendetta,752,V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",2006-02-23,132,54000000,132511035,"['Action', 'Thriller', 'Science Fiction']","['Studio Babelsberg', 'Virtual Studios', 'Anarchos Productions', 'Silver Pictures', 'Fünfte Babelsberg Film', 'Warner Bros. Pictures', 'DC Comics', 'Medienboard Berlin-Brandenburg']","['Germany', 'United Kingdom', 'United States of America']",['English'],People should not be afraid of their governments. Governments should be afraid of their people.,7.898,13191
Warrior,59440,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",2011-09-09,140,25000000,23308615,"['Drama', 'Action']","['Lionsgate', 'Mimran Schur Pictures', 'Solaris Film', 'Filmtribe']",['United States of America'],['English'],Family is worth fighting for.,7.836,4028
Kimetsu no Yaiba: Mugen Ressha-Hen,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",2020-10-16,117,15800000,503063688,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']","['ufotable', 'Aniplex', 'Shueisha', 'STUDIO MAUSU', 'TOHO']",['Japan'],['日本語'],"With your blade, bring an end to the nightmare.",8.249,3069
Gangs of Wasseypur,117691,Gangs of Wasseypur - Part 1,"Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",2012-06-22,160,1400000,4100000,"['Action', 'Thriller', 'Crime']","['Anurag Kashyap Films', 'Jar Pictures']",['India'],['हिन्दी'],,7.158,306
Ran,635736,Ran,"The movie follows Ran's journey, whose main desire is to fulfill his potential. He is ready to deal with difficult experiences of not being accepted by his family and friends, physical and emotional changes, and even dangers to his health, but he is not willing to give up on himself and his happiness.",2018-06-06,20,0,0,[],[],[],[],,0.0,0
Vikram Vedha,432139,Vikram Vedha,A notorious gangster Vedha surrenders himself to encounter specialist Vikram whom he challenges every step of the way by narrating his life events in the form of riddles that needs to be solved in order to capture him.,2017-07-21,147,0,0,"['Action', 'Thriller', 'Crime']",['Y NOT Studios'],['India'],['தமிழ்'],,7.386,145
Baahubali 2: The Conclusion,350312,Bāhubali 2: The Conclusion,"When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",2017-04-27,168,31000000,275947313,"['Action', 'Adventure', 'Fantasy']",['Arka Media Works'],['India'],['తెలుగు'],,7.407,610
K.G.F: Chapter 1,564147,K.G.F: Chapter 1,"A period drama set in the 1970s, KGF follows the story of a fierce rebel who rises against the brutal oppression in Kolar Gold Fields and becomes the symbol of hope to legions of downtrodden people.",2018-12-20,156,0,0,"['Action', 'Crime', 'Drama']","['Hombale Films', 'Vaaraahi Chalana Chitram']",['India'],"['हिन्दी', '?????']",From The Streets Of Mumbai...To The Bloody Gold Mines Of Kolar,7.506,163
Rangasthalam,461126,Rangasthalam,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,2018-03-29,179,7800000,0,"['Action', 'Drama']","['Konidela Production Company', 'Mythri Movie Makers']",['India'],['తెలుగు'],,7.1,47
Sherlock Jr.,992,Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",1924-04-17,45,0,0,"['Action', 'Comedy', 'Mystery']",['Metro Pictures Corporation'],['United States of America'],['No Language'],Every inch of footage holds such a laugh!,8.116,799
Uri: The Surgical Strike,554600,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",2019-01-11,138,0,0,"['Action', 'Drama', 'War']",['RSVP Movies'],['India'],['हिन्दी'],,7.092,168
Dag II,427008,The Mountain II,"In a desolate war zone where screams of the innocent echo, on the very line between disaster and valor, 7 Maroon Berets will dance with death.",2016-11-04,135,670000,11378898,"['War', 'Drama']","['CaglarArts Entertainment', 'Insignia Productions', 'Dreamlife Studios']",['Turkey'],"['العربية', 'English', 'Türkçe']",A Storm is Comming,7.5,149
Paan Singh Tomar,96398,Paan Singh Tomar,Paan Singh Tomar goes from celebrated runner to star brigand and rebel when life after sports fails to unfold as planned.,2012-03-02,135,0,0,"['Crime', 'Drama']","['UTV Motion Pictures', 'UTV Spotboy Motion Pictures']",['India'],['हिन्दी'],,7.262,106
Mad Max: Fury Road,76341,Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",2015-05-13,121,150000000,378858340,"['Action', 'Adventure', 'Science Fiction']","['Kennedy Miller Productions', 'Warner Bros. Pictures', 'RatPac Entertainment', 'Village Roadshow Pictures']","['Australia', 'United States of America', 'South Africa']",['English'],What a Lovely Day.,7.574,20486
Ford v Ferrari,359724,Ford v Ferrari,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",2019-11-13,153,97600000,225508210,"['Drama', 'Action', 'History']","['20th Century Fox', 'TSG Entertainment', 'Chernin Entertainment', 'Turnpike Films']",['United States of America'],"['Français', '日本語', 'Italiano', 'English']",They took the American dream for a ride,8.0,6591
Pirates of the Caribbean: The Curse of the Black Pearl,22,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",2003-07-09,143,140000000,655011224,"['Adventure', 'Fantasy', 'Action']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['United States of America'],['English'],Prepare to be blown out of the water.,7.784,18697
Blade Runner,78,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",1982-06-25,118,28000000,41722424,"['Science Fiction', 'Drama', 'Thriller']","['Shaw Brothers', 'The Ladd Company', 'Warner Bros. Pictures']","['United States of America', 'Hong Kong', 'United Kingdom']","['English', 'Deutsch', '广州话 / 廣州話', '日本語', 'Magyar']",Man has made his match... now it's his problem.,7.934,12368
The Terminator,218,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",1984-10-26,108,6400000,78371200,"['Action', 'Thriller', 'Science Fiction']","['Orion Pictures', 'Pacific Western', 'Hemdale Film', 'Cinema 84', 'Euro Film Funding']","['United Kingdom', 'United States of America']",['English'],Your future is in its hands.,7.639,11419
Logan,263115,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",2017-02-28,137,97000000,619021436,"['Action', 'Drama', 'Science Fiction']","['Hutch Parker Entertainment', ""The Donners' Company"", 'Genre Films', '20th Century Fox']",['United States of America'],"['English', 'Español']",His time has come.,7.814,17714
