Title,belongs_to_collection,genres,original_lang,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken langs,tagline,vote_average,vote_count,Unnamed: 15
The Wolf of Wall Street,0,"Crime, Drama, Comedy",en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",155.116,"EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions",United States of America,25-12-2013,392000000,180,"English, Français",EARN. SPEND. PARTY.,8.036,21531.0,
In the Heat of the Night,1,"Crime, Drama, Mystery, Thriller",en,"African-American Philadelphia police detective Virgil Tibbs is arrested on suspicion of murder by Bill Gillespie, the racist police chief of tiny Sparta, Mississippi. After Tibbs proves not only his own innocence but that of another man, he joins forces with Gillespie to track down the real killer. Their investigation takes them through every social level of the town, with Tibbs making enemies as well as unlikely friends as he hunts for the truth.",15.512,"United Artists, The Mirisch Company",United States of America,02-08-1967,27379978,109,English,They got a murder on their hands. They don’t know what to do with it.,7.686,870.0,
Full Metal Jacket,0,"Drama, War",en,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,28.517,"Natant, Stanley Kubrick Productions, Warner Bros. Pictures","United Kingdom, United States of America",26-06-1987,46357676,117,"English, Tiếng Việt","Vietnam can kill me, but it can’t make me care.",8.14,9369.0,
Invasion of the Body Snatchers,0,"Horror, Science Fiction",en,"Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted 'replacement', realises that he and his friends must escape or suffer the same fate.",15.434,United Artists,United States of America,19-12-1978,24946533,116,"English, Français",Watch out! They get you while you're sleeping!,7.2,879.0,
The Asphalt Jungle,0,"Crime, Drama",en,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",11.205,Metro-Goldwyn-Mayer,United States of America,12-05-1950,0,112,English,The City Under the City,7.545,397.0,
Drishyam 2,1,"Crime, Thriller, Drama, Mystery",hi,"7 years after the case related to Vijay Salgaonkar and his family was closed, a series of unexpected events bring truth to light that threatens to change everything for the Salgaonkars. Can Vijay save his family this time?",8.2,"Viacom18 Studios, Panorama Studios, T-Series, Aashirvad Cinemas",India,18-11-2022,0,142,हिन्दी,,8.014,36.0,
Schindler's List,0,"Drama, History, War",en,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,49.208,Amblin Entertainment,United States of America,15-12-1993,321365567,195,"Deutsch, Polski, עִבְרִית, English","Whoever saves one life, saves the world entire.",8.569,14036.0,
ByÃ´soku 5 senchimÃªtoru,0,"Animation, Drama, Family, Romance",ja,"Three moments in Takaki's life: his relationship with Akari and their forced separation; his friendship with Kanae, who is secretly in love with him; the demands and disappointments of adulthood, an unhappy life in a cold city.",29.102,CoMix Wave Films,Japan,03-03-2007,0,63,日本語,At what speed must I live to see you again?,7.3,1688.0,
Kill Bill: Vol. 2,1,"Action, Crime, Thriller",en,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",23.118,"Super Cool ManChu, Miramax, A Band Apart",United States of America,16-04-2004,152159461,136,"English, 普通话, Español, 广州话 / 廣州話",The bride is back for the final cut.,7.877,12586.0,
Baazigar,0,"Crime, Thriller",hi,A young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover's ulterior motive.,6.936,"United Seven Combines, Venus Records & Tapes",India,12-11-1993,0,181,हिन्दी,,6.9,92.0,
Die Hard,1,"Action, Thriller",en,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",42.444,"Gordon Company, Silver Pictures, 20th Century Fox",United States of America,15-07-1988,140767956,131,"English, Deutsch, Italiano",Twelve terrorists. One cop. The odds are against John McClane... That's just the way he likes it.,7.766,9892.0,
Bringing Up Baby,0,"Comedy, Romance",en,"David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances, he meets Susan Vance, and the duo have a series of misadventures which include a leopard called Baby.",10.194,RKO Radio Pictures,United States of America,18-02-1938,0,102,English,"And so begins the hilarious adventure of Professor David Huxley and Miss Susan Vance, a flutter-brained vixen with love in her heart!",7.564,833.0,
Les quatre cents coups,1,Drama,fr,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",16.278,"Les Films du Carrosse, Sédif Productions",France,03-06-1959,0,99,"English, Français",Angel faces hell-bent for violence.,8.071,1844.0,
Once,0,"Drama, Music, Romance",en,"A vacuum repairman moonlights as a street musician and hopes for his big break. One day a Czech immigrant, who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love.",10.756,"Samson Films, Summit Entertainment, RTÉ, Fox Searchlight Pictures",Ireland,23-03-2007,20710513,85,"Český, English",How often do you find the right person?,7.391,1156.0,
Major,0,Documentary,en,"MAJOR! follows the life and campaigns of Miss Major Griffin-Gracy, a 73-year-old Black transgender woman who has been fighting for the rights of trans women of color for over 40 years.",1.328,Floating Ophelia Productions,United States of America,15-11-2015,0,91,English,,7.7,3.0,
Batman Begins,1,"Action, Crime, Drama",en,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",39.199,"Warner Bros. Pictures, DC Comics, Syncopy, Legendary Pictures, Patalex III Productions Limited","United Kingdom, United States of America",10-06-2005,374218673,140,"English, اردو, 普通话",Evil fears the knight.,7.695,18999.0,
Kai po che!,0,Drama,hi,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,6.885,UTV Motion Pictures,India,13-02-2013,0,126,हिन्दी,Brothers...For Life.,6.853,109.0,
Bakjwi,0,"Drama, Horror, Thriller",ko,"A respected priest volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life. Now, he’s torn between faith and bloodlust, and has a newfound desire for the wife of a childhood friend.",13.053,"CJ Entertainment, Moho Film, Focus Features, Focus Features International (FFI)",South Korea,30-04-2009,13085023,134,"English, 한국어/조선말, Français",Lusting after sinful pleasures.,7.063,774.0,
M - Eine Stadt sucht einen MÃ¶rder,0,"Drama, Action, Thriller, Crime",de,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",19.894,Nero-Film AG,Germany,11-05-1931,0,109,Deutsch,Who is the murderer?,8.101,1825.0,
Amadeus,0,"History, Music, Drama",en,"Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",20.368,"AMLF, The Saul Zaentz Company",United States of America,19-09-1984,51973029,180,"English, Deutsch, Italiano, Latin",Everything you've heard is true...,8.039,3685.0,
He Got Game,0,Drama,en,A basketball player's father must try to convince him to go to a college so he can get a shorter prison sentence.,11.266,"40 Acres and a Mule Filmworks, Touchstone Pictures",United States of America,01-05-1998,21567853,136,English,"The father, the son and the holy game.",6.753,608.0,
An American Werewolf in London,1,"Horror, Comedy",en,Two American tourists in England are attacked by a werewolf that none of the locals will admit exists.,28.189,"Universal Pictures, Guber/Peters Company, American Werewolf Inc., Lyncanthrope Films","United Kingdom, United States of America",21-08-1981,31973249,97,English,Beware the Moon.,7.362,2033.0,
Shrek 2,1,"Animation, Family, Comedy, Fantasy, Adventure, Romance",en,"Shrek, Fiona and Donkey set off to Far, Far Away to meet Fiona's mother and father. But not everyone is happy. Shrek and the King find it hard to get along, and there's tension in the marriage. The fairy godmother discovers that Shrek has married Fiona instead of her Son Prince Charming and sets about destroying their marriage.",75.662,"DreamWorks Pictures, Pacific Data Images, DreamWorks Animation",United States of America,19-05-2004,928760770,93,English,Once upon another time...,7.234,10978.0,
The Last King of Scotland,0,Drama,en,"Young Scottish doctor, Nicholas Garrigan decides it's time for an adventure after he finishes his formal education, so he decides to try his luck in Uganda, and arrives during the downfall of President Obote. General Idi Amin comes to power and asks Garrigan to become his personal doctor.",16.167,"Fox Searchlight Pictures, Cowboy Films, DNA Films, Scottish Screen, UK Film Council, Film4 Productions, Slate Films, Tatfilm","Germany, United Kingdom, United States of America",12-01-2006,48618191,123,"English, Français, Deutsch, Kiswahili",Charming. Magnetic. Murderous.,7.434,1831.0,
1408,0,"Horror, Mystery, Thriller",en,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",27.83,"di Bonaventura Pictures, Dimension Films, The Weinstein Company, Metro-Goldwyn-Mayer",United States of America,22-06-2007,132963417,104,English,The only demons in room 1408 are those within you.,6.665,3842.0,
Willy Wonka & the Chocolate Factory,0,"Family, Fantasy, Comedy",en,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.",33.838,David L. Wolper Productions,United States of America,29-06-1971,4000000,100,"Français, English, Italiano, Deutsch",It's Scrumdidilyumptious!,7.478,2974.0,
Corpse Bride,0,"Romance, Fantasy, Animation",en,"Set in a 19th-century European village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",56.453,"Tim Burton Productions, Laika Entertainment, Patalex Productions, Warner Bros. Pictures, Will Vinton Studios, Tim Burton Animation Company",United States of America,12-09-2005,118133252,77,English,There's been a grave misunderstanding.,7.515,7955.0,
Mystic River,0,"Thriller, Crime, Drama, Mystery",en,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.,25.743,"Warner Bros. Pictures, Village Roadshow Pictures, NPV Entertainment, Malpaso Productions",United States of America,20-02-2003,156822020,138,English,"We bury our sins, we wash them clean.",7.746,5789.0,
"Lock, Stock and Two Smoking Barrels",0,"Comedy, Crime",en,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,10.525,"Summit Entertainment, The Steve Tisch Company, SKA Films, PolyGram Filmed Entertainment, HandMade Films","United Kingdom, United States of America",28-08-1998,28356188,105,English,A Disgrace to Criminals Everywhere.,8.133,5905.0,
Pi,1,"Family, Action, Adventure",nl,"The pirates feel right at home in Sandborough, but the atmosphere cools right down when the ninjas come to live in the street. After all, pirates and ninjas are sworn enemies!  While pirate captain Hector Blunderbuss struggles to get rid of his new neighbours, son Billy and ninja daughter Yuka become friends. The pirates challenge the ninjas to the ultimate battle at the village's annual hexathlon. Who will win the match? Ninjas are faster and more agile of course, but pirates are the best cheats in all of the seven seas...",561.349,"Johan Nijenhuis & Co (NL), EO  -  EO (NL)",Netherlands,20-04-2022,0,89,Nederlands,,6.892,60.0,
The Long Goodbye,0,"Crime, Mystery, Thriller, Comedy",en,"In 1970s Hollywood, Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.",8.694,"E-K-Corporation, United Artists, Lion's Gate Films",United States of America,07-03-1973,959000,112,"English, Español",Nothing says goodbye like a bullet…,7.457,492.0,
The Count of Monte Cristo,0,"Adventure, Drama, History",en,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility.",27.312,"Touchstone Pictures, Spyglass Entertainment, World 2000 Entertainment, Count of Monte Cristo Ltd.",United States of America,23-01-2002,75395048,131,"English, Español, Italiano",Prepare for adventure. Count on revenge.,7.655,1539.0,
Hedwig and the Angry Inch,0,"Comedy, Music, Drama",en,"Raised a boy in East Berlin, Hedwig undergoes a personal transformation in order to emigrate to the U.S., where she reinvents herself as an “internationally ignored” but divinely talented rock diva, inhabiting a “beautiful gender of one.”",9.547,"New Line Cinema, Killer Films","Canada, United States of America",20-07-2001,0,95,"English, Deutsch",An anatomically incorrect rock odyssey,7.442,319.0,
Barry Lyndon,0,"Drama, Romance, War",en,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",14.941,"Hawk Films, Peregrine, Warner Bros. Pictures","United Kingdom, United States of America",26-11-1975,198992,185,"Deutsch, Français, English",At long last Redmond Barry became a gentleman—and that was his tragedy.,8.012,2440.0,
Men in Black,1,"Action, Adventure, Comedy, Science Fiction",en,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",35.115,"Columbia Pictures, Amblin Entertainment, Parkes+MacDonald Image Nation",United States of America,02-07-1997,589390539,98,"English, Español",Protecting the Earth from the scum of the universe.,7.18,12470.0,
Rocky Balboa,1,Drama,en,"His Wife is dead and his Son hates him but this old man still has fight in him!  When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger, and thirty years his junior.",31.895,"Rogue Marble, Columbia Pictures, Revolution Studios, Metro-Goldwyn-Mayer, Winkler Films",United States of America,20-12-2006,155929020,101,"English, ქართული, Español",It ain't over 'til it's over.,6.834,3050.0,
As Good as It Gets,0,"Drama, Comedy, Romance",en,"Melvin Udall, a cranky, bigoted, obsessive-compulsive writer of romantic fiction, is rude to everyone he meets, including his gay neighbor, Simon. After Simon is hospitalized, Melvin finds his life turned upside down when he has to look after Simon's dog. In addition, Carol, the only waitress at the local diner who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",18.77,"Gracie Films, TriStar Pictures, Sony Pictures",United States of America,19-12-1997,314178011,139,English,A comedy from the heart that goes for the throat. Brace yourself for Melvin.,7.393,3339.0,
Talvar,0,"Thriller, Drama, Mystery",hi,A hardened cop deals with three conflicting perspectives involving a brutal double murder. The case is complicated as the prime suspects are the parents who supposedly killed their teenage daughter.,8.33,"Vishal Bhardwaj Pictures, Jar Pictures, Junglee Pictures",India,14-09-2015,0,132,"English, हिन्दी",,7.493,136.0,
Incredibles 2,1,"Action, Adventure, Animation, Family",en,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",54.657,"Walt Disney Pictures, Pixar",United States of America,14-06-2018,1242805359,118,English,Back to work.,7.486,11753.0,
Sanju,1,"Drama, Action, Comedy",ja,"Toshiro Mifune swaggers and snarls to brilliant comic effect in Kurosawa's tightly paced, beautifully composed ""Sanjuro."" In this companion piece and sequel to ""Yojimbo,"" jaded samurai Sanjuro helps an idealistic group of young warriors weed out their clan's evil influences, and in the process turns their image of a proper samurai on its ear.",13.852,TOHO,Japan,01-01-1962,0,96,日本語,Akira Kurosawa's Powerful and Newest Japanese Masterpiece,7.972,498.0,
Thor: Ragnarok,1,"Action, Adventure, Fantasy, Science Fiction, Comedy",en,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",66.288,Marvel Studios,United States of America,24-10-2017,855301806,131,English,No Hammer. No Problem.,7.599,19052.0,
Freedom Writers,0,"Crime, Drama",en,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",21.107,"Double Feature Films, Jersey Films, Kernos Filmproduktionsgesellschaft & Company","Germany, United States of America",05-01-2007,43095175,123,"Español, English",Their story. Their world. Their future.,7.923,1953.0,
Modern Times,0,"Comedy, Drama",en,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,18.724,"Charles Chaplin Productions, United Artists",United States of America,05-02-1936,0,87,English,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",8.305,3264.0,
To Have and Have Not,0,"Adventure, Romance, War, Drama",en,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,9.248,Warner Bros. Pictures,United States of America,20-01-1945,3650000,100,"English, Français",TALK ABOUT T.N.T! THIS is IT!,7.5,434.0,
The Courier,0,"Thriller, History, Drama, Action",en,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,25.985,"SunnyMarch, 42, FilmNation Entertainment, Lionsgate, Roadside Attractions","United Kingdom, United States of America",24-01-2020,26000000,112,"English, Pусский",Based on the incredible true story of a businessman turned spy.,7.043,908.0,
Tenacious D in The Pick of Destiny,0,"Comedy, Music",en,"In Venice Beach, naive Midwesterner JB bonds with local slacker KG and they form the rock band Tenacious D. Setting out to become the world's greatest band is no easy feat, so they set out to steal what could be the answer to their prayers... a magical guitar pick housed in a rock-and-roll museum some 300 miles away.",26.774,"New Line Cinema, Red Hour",United States of America,22-11-2006,13405595,93,English,An epic quest. A magical guitar pick. A chance to put the D in Destiny.,6.715,1375.0,
Waking Life,0,"Animation, Drama, Fantasy",en,"Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life.",13.359,"Line Research, Fox Searchlight Pictures, Thousand Words, Flat Black Films, Detour Filmproduction, Independent Film Channel",United States of America,19-10-2001,3176880,99,English,Dreams. What are they? An escape from reality or reality itself?,7.506,776.0,
La leggenda del pianista sull'oceano,0,"Drama, Music, Romance",it,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",21.236,"Medusa Film, Sciarlò",Italy,28-10-1998,21057208,170,"English, Français, Italiano",An epic story of a man who could do anything... except be ordinary,8.279,2019.0,
Gangs of Wasseypur,1,"Action, Thriller, Crime",hi,"In 1970s India, a young man vows to take revenge on the man who killed his father decades earlier.",10.749,"Anurag Kashyap Films, Jar Pictures",India,22-06-2012,4100000,160,हिन्दी,,7.2,306.0,
Ali,0,Drama,en,"In 1964, a brash, new pro boxer, fresh from his Olympic gold medal victory, explodes onto the scene: Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self-confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test.",14.956,"Columbia Pictures, Initial Entertainment Group, Forward Pass, Moonlighting Films, Overbrook Entertainment, Peters Entertainment","South Africa, United States of America",10-12-2001,87713825,157,English,Float like a butterfly and sting like a bee.,6.778,1499.0,
The Big Lebowski,0,"Comedy, Crime",en,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",22.849,"Gramercy Pictures, PolyGram Filmed Entertainment, Working Title Films","United Kingdom, United States of America",06-03-1998,46969409,117,"English, עִבְרִית, Español, Deutsch",Times like these call for a Big Lebowski.,7.844,10076.0,
Tau ming chong,0,"Action, Drama, History",zh,"A heroic tale of three blood brothers and their struggle in the midst of war and political upheaval. It is based on ""The Assassination of Ma,"" a Qing Dynasty (1644-1911) story about the killing of general Ma Xinyi.",13.945,"China Film Group Corporation, Applause Pictures, Media Asia Films, Beijing Jinyinma Movie & TV Culture Co., Stellar Mega Films, Chengtian Entertainment, Morgan & Chan Films, Talent Aid International, Bona Film Group","China, Hong Kong",12-12-2007,0,126,普通话,,6.728,270.0,
Lone Star,0,"Drama, Mystery, Romance",en,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",8.087,"Castle Rock Entertainment, Rio Dulce",United States of America,21-06-1996,13269963,135,"Español, English",John Sayles invites you to return to the scene of the crime.,6.998,288.0,
Eternal Sunshine of the Spotless Mind,0,"Science Fiction, Drama, Romance",en,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",39.128,"Focus Features, Anonymous Content, This Is That Productions",United States of America,19-03-2004,72258126,108,English,You can erase someone from your mind. Getting them out of your heart is another story.,8.1,13332.0,
United 93,0,"Drama, History, Crime, Thriller, Action",en,"A real-time account of the events on United Flight 93, one of the planes hijacked on 9/11 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",11.214,"Sidney Kimmel Entertainment, Working Title Films, StudioCanal","France, United Kingdom, United States of America",28-04-2006,76286096,111,"English, العربية, Deutsch","September 11, 2001. Four planes were hijacked. Three of them reached their target. This is the story of the fourth.",7.13,1274.0,
Ghostbusters,0,"Action, Fantasy, Comedy",en,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",34.186,"Ghost Corps, Columbia Pictures, Village Roadshow Pictures, LStar Capital, Feigco Entertainment, Pascal Pictures, The Montecito Picture Company",United States of America,14-07-2016,229147509,117,English,Who You Gonna Call?,5.369,5833.0,
Happy Feet,1,"Animation, Comedy, Family",en,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",43.118,"Kennedy Miller Productions, Animal Logic",Australia,16-11-2006,384335608,108,English,WARNING: May Cause Toe-Tapping.,6.16,4608.0,
